word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
			它真重。		It's pretty heavy.
			雨下得很大。		It's raining hard.
			這是不證自明的。		It's self-evident.
			现在太晚了。		It's too late now.
			靠右侧通行。		Keep to the right.
			让我们开始吧。		Let's get started.
			去踢足球吧。		Let's play soccer.
			我们去踢足球吧！		Let's play soccer.
			我们休息一下吧。		Let's take a rest.
			生活是美丽的。		Life is beautiful.
			人生良苦。		Life is very hard.
			真是好久不见啊		Long time, no see.
			看著我的眼睛。		Look into my eyes.
			玛丽非常可爱。		Mary is very cute.
			我可以把它放在这儿吗？		May I put it here?
			我的马是白色的。		My horse is white.
			我的笔记本电脑发生故障了。		My laptop crashed.
			我肩膀痛。		My shoulder hurts.
			我吃得很飽。		My stomach's full.
			什么问题都没有！		No problem at all!
			一点问题都没有！		No problem at all!
			小心打開。		Open it carefully.
			桃子都毛茸茸的。		Peaches are fuzzy.
			接一下电话。		Pick up the phone.
			请联系我们。		Please contact us.
			请您原谅。		Please forgive me.
			请原谅我。		Please forgive me.
			请原谅我吧。		Please forgive me.
			请重新考虑一下。		Please reconsider.
			请稍等一下。		Please wait a bit.
			假装你是我。		Pretend you're me.
			熄灯。		Put out the light.
			把手举起来！		Put your hands up!
			举起手来！		Put your hands up!
			用英语说。		Say it in English.
			替你们脸红啊。		Shame on you guys.
			她吃了一顆蘋果。		She ate one apple.
			她开始唱歌了。		She began to sing.
			她大声诅咒。		She cursed loudly.
			她没有走远。		She didn't go far.
			她有蓝色的眼睛。		She has blue eyes.
			她有双蓝眼睛。		She has blue eyes.
			她眼睛是蓝色的。		She has blue eyes.
			她喜欢橙子。		She likes oranges.
			她看起来不幸福。		She looks unhappy.
			她卖花。		She sells flowers.
			她痛哭。		She wept bitterly.
			她在浴室。		She's in the bath.
			她是我女儿。		She's my daughter.
			她不是小孩。		She's not a child.
			我该帮你吗？		Should I help you?
			不要烦我。		Stop bothering me.
			别再骂汤姆了。		Stop scolding Tom.
			告訴我真相。		Tell me the truth.
			白蚁吃木头。		Termites eat wood.
			那栋房子很大。		That house is big.
			那不是法语。		That isn't French.
			这不是我的工作。		That isn't my job.
			那是一隻野雞。		That's a pheasant.
			我就说了这么多。		That's all I said.
			这不可能。		That's impossible.
			这是我的问题。		That's my problem.
			這真的很糟。		That's really sad.
			那就是答案。		That's the answer.
			这很方便。		That's very handy.
			这只猫在吃东西。		The cat is eating.
			鐘停了。		The clock stopped.
			這隻狗跑走了。		The dog went away.
			门铃儿响了。		The doorbell rang.
			斗争结束了。		The fight is over.
			饭做好了！		The food is ready.
			锁坏了。		The lock's broken.
			会议结束了。		The meeting ended.
			疼痛消失了。		The pain has gone.
			汤很稠。		The soup is thick.
			太阳升起来了。		The sun is rising.
			系统运行起来了。		The system worked.
			貨車走了。		The truck is gone.
			后备箱满了。		The trunk is full.
			有罢工。		There is a strike.
			那裡有人打過架。		There was a fight.
			他们在吃午饭。		They are at lunch.
			他们都喜欢唱歌。		They like to sing.
			他们担心。		They were worried.
			他们会再尝试的。		They'll try again.
			这个苹果是坏的。		This apple is bad.
			这床很沉。		This bed is heavy.
			這可能很好玩。		This could be fun.
			这是一个奇迹。		This is a miracle.
			这是悖论。		This is a paradox.
			这很难。		This is difficult.
			這很貴。		This is expensive.
			這是胡說。		This is gibberish.
			这是她的房子。		This is her house.
			這是我的朋友。		This is my friend.
			这是我的妈妈。		This is my mother.
			这是我母亲。		This is my mother.
			这是我的妹妹。		This is my sister.
			这真的很简单。		This is real easy.
			这太无聊了。		This is so boring.
			这很好。		This is very good.
			這不是我的車。		This isn't my car.
			這不是我的鑰匙。		This isn't my key.
			這讓我難過。		This makes me sad.
			今天是星期四。		Today is Thursday.
			今天是礼拜四。		Today is Thursday.
			今天是我请客。		Today is my treat.
			汤姆成了英雄。		Tom became a hero.
			汤姆开始唱歌。		Tom began singing.
			汤姆开始说话。		Tom began talking.
			汤姆最近死了。		Tom died recently.
			汤姆开的车。		Tom drove the car.
			汤姆染发了。		Tom dyed his hair.
			过去汤姆没有家。		Tom had no family.
			汤姆的手大。		Tom has big hands.
			汤姆的眼睛是蓝色的。		Tom has blue eyes.
			汤姆恨蜘蛛。		Tom hates spiders.
			汤姆听到了一声喊叫。		Tom heard a shout.
			汤姆什么也没听见。		Tom heard nothing.
			汤姆是只书虫。		Tom is a bookworm.
			汤姆是好人。		Tom is a good guy.
			汤姆是魔法师。		Tom is a magician.
			汤姆是新来的。		Tom is a newcomer.
			汤姆是个真男人。		Tom is a true man.
			汤姆超重了。		Tom is overweight.
			汤姆在试探我。		Tom is testing me.
			汤姆令人难以忍受。		Tom is unbearable.
			汤姆没在笑。		Tom isn't smiling.
			汤姆做出了选择。		Tom made a choice.
			是汤姆让我做的。		Tom made me do it.
			汤姆可能会回来。		Tom may come back.
			汤姆想念波士顿了。		Tom misses Boston.
			汤姆动得好快。		Tom moves quickly.
			汤姆一定疯了。		Tom must be crazy.
			汤姆闭上了眼睛。		Tom shut his eyes.
			汤姆想说话。		Tom wants to talk.
			汤姆形单影只。		Tom was all alone.
			汤姆很虚弱。		Tom was very sick.
			汤姆的脸红了。		Tom's face is red.
			汤姆，你还好吧？		Tom, are you okay?
			再试一次。		Try it once again.
			请回来。		Turn back, please.
			打开收音机。		Turn on the radio.
			请来两杯啤酒。		Two beers, please.
			使用它或失去它。		Use it or lose it.
			汤姆吃惊吗？		Was Tom surprised?
			那太多了吗？		Was that too much?
			水是液体。		Water is a liquid.
			我们相信上帝。		We believe in God.
			我们什么都做不了。		We can do nothing.
			我们不这样认为。		We don't think so.
			我们可能永远不知道。		We may never know.
			我们必须介入。		We must intervene.
			我们去了波士顿。		We went to Boston.
			我们那时是孩子。		We were kids then.
			我们没怕。		We weren't afraid.
			我们战争胜利了。		We won the battle.
			我们反对战争。		We're against war.
			我们都在冒险。		We're all at risk.
			我们都处于危险之中。		We're all at risk.
			我们现在在做饭。		We're cooking now.
			我们是老朋友了。		We're old friends.
			我们就是问题所在。		We're the problem.
			我们被警告过了。		We've been warned.
			他们是认真的吗？		Were they serious?
			什么可以出岔子？		What can go wrong?
			你会做什么？		What could you do?
			他们说了些什么？		What did they say?
			您听到什么了？		What did you hear?
			我们现在怎么办？		What do we do now?
			这是什么意思？		What does it mean?
			你的名字叫什么？		What is your name?
			我要买什么？		What should I buy?
			搞什么啊？		What're you doing?
			你打算做什么？		What're you up to?
			是什么原因？		What's causing it?
			我们晚饭吃什么？		What's for supper?
			这是什么做的？		What's it made of?
			电话号码是多少？		What's the number?
			祕訣是什麼？		What's the secret?
			这是什么气味？		What's this smell?
			你的爱好是什么？		What's your hobby?
			你的专业是什么？		What's your major?
			汤姆什么时候到的？		When did Tom come?
			它是什么时候建成的？		When was it built?
			她是什么时候出生的？		When was she born?
			你现在在哪里呢？		Where are you now?
			您住在哪里？		Where do you live?
			您在哪里工作？		Where do you work?
			汤姆是哪里人？		Where is Tom from?
			银行在哪里？		Where is the bank?
			那本书在哪儿？		Where is the book?
			哪裡出去？		Where is the exit?
			哪裡痛？		Where is the pain?
			你爸爸在哪？		Where is your dad?
			你的狗在哪儿？		Where is your dog?
			我的文件夹去哪了？		Where's my folder?
			伏特加在哪里？		Where's the vodka?
			哪顆牙痛？		Which tooth hurts?
			这谁给你的？		Who gave you this?
			那是谁发明的？		Who invented that?
			是谁给你说那个的呢？		Who told you that?
			這是誰的車？		Whose car is this?
			这是谁的杯子？		Whose cup is this?
			这是谁的主意？		Whose idea was it?
			为什么您一个人？		Why are you alone?
			你为什么一个人？		Why are you alone?
			你为什么生气？		Why are you angry?
			你为什么醒着？		Why are you awake?
			为什么雪是白色的呢？		Why is snow white?
			你为什么迟到？		Why were you late?
			你会在那里吗？		Will you be there?
			你愿意嫁给我吗？		Will you marry me?
			你有点胖。		You are a bit fat.
			这里可以停车。		You can park here.
			你们不能解雇我们。		You can't fire us.
			你不能炒了我们。		You can't fire us.
			您不能炒了我们。		You can't fire us.
			你们不能炒了我们。		You can't fire us.
			你没发烧。		You have no fever.
			您要赶快些。		You have to hurry.
			你得走了。		You have to leave.
			你知道得太多了。		You know too much.
			你犯了个错误。		You made an error.
			我被你逗乐了。		You made me laugh.
			你必須離開。		You need to leave.
			你說太多了。		You talk too much.
			你工作太努力了。		You work too hard.
			你会找到工作的。		You'll find a job.
			你很上相。		You're photogenic.
			你太谦虚了。		You're too modest.
			你真是警惕。		You're very alert.
			你很聪明。		You're very smart.
			你做了很多。		You've done a lot.
			我们都喜欢她。		All of us like her.
			任何人都可以做到。		Anyone can do that.
			你是记者吗？		Are you a reporter?
			你今天忙吗？		Are you busy today?
			你在回家吗？		Are you going home?
			你在这里高兴吗？		Are you happy here?
			你在生汤姆的气吗？		Are you mad at Tom?
			你还冷吗？		Are you still cold?
			当心它。		Be careful with it.
			早饭准备好了。		Breakfast is ready.
			我可以叫您汤姆吗？		Can I call you Tom?
			我可以叫你汤姆吗？		Can I call you Tom?
			可以原谅我吗？		Can you forgive me?
			车子很贵。		Cars are expensive.
			进来，门开着。		Come in, it's open.
			来，再试试看。		Come on, try again.
			你把它们带来了么？		Did you bring them?
			你告发我了吗？		Did you tell on me?
			你喜欢苹果吗？		Do you like apples?
			你还记得我们吗？		Do you remember us?
			它令您快乐吗？		Does it please you?
			别吃太多。		Don't eat too much.
			别让他失望。		Don't let him down.
			别闹事。		Don't make trouble.
			不要错过公车。		Don't miss the bus.
			别胡说。		Don't talk rubbish.
			你不这么认为吗？		Don't you think so?
			每箇人都做了。		Everybody did that.
			所有人都是活着的。		Everybody is alive.
			每个人都该走。		Everyone should go.
			所有人都喝醉了。		Everyone was drunk.
			任何事情都是重要。		Everything matters.
			一切就绪。		Everything's ready.
			都给我。		Give me everything.
			把那把刀給我。		Give me that knife.
			把那个号码给我。		Give me the number.
			给我报告。		Give me the report.
			给我你的手机。		Give me your phone.
			戴上你的安全帽。		Go get your helmet.
			大家辛苦了！		Good job, everyone!
			把遥控器递给我。		Hand me the remote.
			飞行愉快！		Have a good flight.
			最近过得好吗？		Have you been well?
			你们吃饭了吗？		Have you eaten yet?
			他准时来了。		He arrived in time.
			他替我叫了一部計程車。		He called me a cab.
			他不能买车。		He can't buy a car.
			他真的說得很好。		He does speak well.
			他帮我打到一辆出租车。		He found me a taxi.
			他下了公車。		He got off the bus.
			他的脖子很長。		He has a long neck.
			他給自己投了保險。		He insured himself.
			他是賣魚的。		He is a fishmonger.
			他高尔夫球打得好。		He is good at golf.
			他是这么的无情。		He is so heartless.
			他踢了那顆球。		He kicked the ball.
			他仰躺。		He lay on his back.
			他喜欢冒险。		He likes adventure.
			他舉起他的手。		He raised his hand.
			他六点回来了。		He returned at six.
			他開了先河。		He set a precedent.
			他仍然爱着她。		He still loves her.
			他休了一周的假。		He took a week off.
			他骑自行车去的。		He went by bicycle.
			他騎腳踏車去。		He went by bicycle.
			他是騎自行車去的。		He went by bicycle.
			他很快就好了。		He'll be done soon.
			他是个好人。		He's a good fellow.
			他有点苍白。		He's a little pale.
			他是个吸毒男。		He's a meth addict.
			他已经是个男人了。		He's already a man.
			他在靠近。		He's coming closer.
			他是我新交的朋友。		He's my new friend.
			她的皮膚光滑。		Her skin is smooth.
			她的襪子是灰色的。		Her socks are gray.
			把你的钥匙给你。		Here are your keys.
			这是我的行李。		Here is my baggage.
			明天怎么样？		How about tomorrow?
			你觉得怎么样？		How do you like it?
			這是怎麼運行的？		How does this work?
			你家里人都还好吗？		How is your family?
			我接受了报价。		I accept the offer.
			我六英尺高。		I am six feet tall.
			我吃了一些菠菜。		I ate some spinach.
			我每天洗一次澡。		I bathe once a day.
			我烧掉了一切。		I burnt everything.
			我可以自己做。		I can do it myself.
			我甚麼都能吃。		I can eat anything.
			我可以等你。		I can wait for you.
			我没法相信！		I can't believe it!
			我不能相信。		I can't believe it.
			我不可以喝牛奶。		I can't drink milk.
			我不能喝牛奶。		I can't drink milk.
			我睡不好。		I can't sleep well.
			我没买面包。		I didn't buy bread.
			不敢当。		I don't deserve it.
			我不怕死。		I don't fear death.
			我没有猫。		I don't have a cat.
			我没有狗。		I don't have a dog.
			我不喜欢寿司。		I don't like sushi.
			我不吸大麻。		I don't smoke weed.
			不明白。		I don't understand.
			我梦到你了。		I dreamt about you.
			我去哪里都开车。		I drive everywhere.
			我感觉很舒服。		I feel comfortable.
			我想休息一下。		I feel like a rest.
			我遵守規矩。		I follow the rules.
			我和你保证。		I gave you my word.
			我六點左右起床。		I got up about six.
			我玩得很開心。		I had a lot of fun.
			我讨厌我的电脑。		I hate my computer.
			我恨我的电脑。		I hate my computer.
			我讨厌我的邻居。		I hate my neighbor.
			我有个轮胎瘪了。		I have a flat tire.
			我朋友很少。		I have few friends.
			我的帽子丢了。		I have lost my cap.
			我没力气了。		I have no strength.
			我有一些蘋果。		I have some apples.
			我得给汤姆打电话。		I have to call Tom.
			我必須把它漆上油漆。		I have to paint it.
			我得说这事。		I have to say this.
			我听到汤姆尖叫。		I heard Tom scream.
			我聽到他出去了。		I heard him go out.
			我希望我们能找到汤姆。		I hope we find Tom.
			我知道她的地址。		I know her address.
			我知道那種感覺。		I know the feeling.
			我知道问题。		I know the problem.
			我認識那些女孩。		I know those girls.
			我認識那些女人。		I know those women.
			我知道他做了。		I know what he did.
			我知道要說什麼。		I know what to say.
			我很喜欢烛光。		I like candlelight.
			我喜欢数学。		I like mathematics.
			我喜欢那个人。		I like that person.
			我喜欢你的建议。		I like your advice.
			我喜欢你的咖啡。		I like your coffee.
			我喜欢你的家庭。		I like your family.
			我丢了我的伞。		I lost my umbrella.
			我爱韩国料理。		I love Korean food.
			我爱好翻译。		I love translating.
			我另有计划。		I made other plans.
			我遇见了一位老妇人。		I met an old woman.
			我那么想念她。		I miss her so much.
			我想念我的孩子。		I miss my children.
			我如此想念你。		I miss you so much.
			好想見到你		I miss you so much.
			我需要更多黄油。		I need more butter.
			我需要你的意见。		I need your advice.
			我从不喝啤酒。		I never drink beer.
			我打算去那裡。		I plan to go there.
			我看見他逃跑了。		I saw him run away.
			我在公交车上睡觉了。		I slept on the bus.
			我依然不关心。		I still don't care.
			我每周游一次泳。		I swim once a week.
			我想他会来的吧。		I think he'll come.
			我觉得他会来。		I think he'll come.
			我努力忍住哭。		I tried not to cry.
			我八點起床。		I wake up at eight.
			我想让汤姆等着。		I want Tom to wait.
			我想去那裡。		I want to go there.
			我要紅色的鞋子。		I wanted red shoes.
			那个时候，我在家。		I was at home then.
			我一直在期待着！		I was expecting it!
			我也紧张。		I was nervous, too.
			我非常小心了。		I was very careful.
			我很放鬆。		I was very relaxed.
			我一天到晚看电视。		I watch TV all day.
			但願我很有錢。		I wish I were rich.
			祝你成功。		I wish you success.
			我回家比較好。		I'd better go home.
			我会叫汤姆回来。		I'll call Tom back.
			我会给你回电话的。		I'll call you back.
			我会需要帮助。		I'll get some help.
			给我来一份一样的。		I'll have the same.
			我就坐这儿。		I'll just sit here.
			我要一直做下去。		I'll keep doing it.
			我也会想你的。		I'll miss you, too.
			我要和汤姆一起骑车。		I'll ride with Tom.
			我有點累。		I'm a little tired.
			我怕狗。		I'm afraid of dogs.
			我总觉得渴。		I'm always thirsty.
			我是一名電工。		I'm an electrician.
			我跟她訂婚了。		I'm engaged to her.
			我是从新加坡来的。		I'm from Singapore.
			我很高興結束了。		I'm glad it's over.
			我进城去。		I'm going downtown.
			我正要去签到。		I'm going to check.
			我擅長滑雪。		I'm good at skiing.
			我擅長足球。		I'm good at soccer.
			我擅長網球。		I'm good at tennis.
			我才刚开始。		I'm just beginning.
			我失去了控制。		I'm losing my grip.
			我在製作電影。		I'm making a movie.
			我不是独裁者。		I'm not a dictator.
			我不是死板的。		I'm not inflexible.
			我不感兴趣。		I'm not interested.
			我有點不舒服。		I'm not quite well.
			我在陽臺上。		I'm on the balcony.
			我正在摘蘋果。		I'm picking apples.
			我准备好出发了。		I'm ready to leave.
			对不起，我来晚了。		I'm sorry I'm late.
			我非常抱歉。		I'm terribly sorry.
			我太忙了不能去。		I'm too busy to go.
			我在洗蘋果。		I'm washing apples.
			我增加了體重。		I've gained weight.
			我已經變得好多了。		I've gotten better.
			我把我的表丢了。		I've lost my watch.
			我以前从没见过她。		I've never met her.
			所有人都准备好了吗？		Is everybody ready?
			有什么不对吗？		Is something wrong?
			不够吗？		Is that not enough?
			有没有糖？		Is there any sugar?
			这就是全部吗？		Is this everything?
			这没有结果。		It came to nothing.
			它真的很便宜。		It is really cheap.
			这不实用。		It isn't practical.
			它变糟了。		It just gets worse.
			雪下了一週。		It snowed all week.
			很好修。		It was easy to fix.
			我这么说只是开个玩笑。		It was just a joke.
			那不是我的錯。		It wasn't my fault.
			它不会太贵的。		It won't cost much.
			这个例子举得不好。		It's a bad example.
			旅行是令人快乐的。		It's fun to travel.
			旅行是乐事。		It's fun to travel.
			这不重要。		It's not important.
			又下雨了！		It's raining again!
			今天下雨。		It's raining today.
			今天下雪。		It's snowing today.
			是时候离开了。		It's time to leave.
			这太贵了。		It's too expensive.
			太貴了。		It's too expensive.
			外面風很大。		It's windy outside.
			請給我水就好了。		Just water, please.
			不要踩草地。		Keep off the grass.
			知識就是力量。		Knowledge is power.
			知识就是力量。		Knowledge is power.
			離我的車遠一點。		Leave my car alone.
			不要碰我的車。		Leave my car alone.
			第二课容易。		Lesson Two is easy.
			我们离婚吧。		Let's get divorced.
			我们在这里下车吧。		Let's get off here.
			看看我的新車。		Look at my new car.
			看那个房子。		Look at that house.
			照镜子。		Look in the mirror.
			我可以用支票付吗？		May I pay by check?
			也许您有道理。		Maybe you're right.
			我的车不是棕的。		My car isn't brown.
			我父亲变老了。		My father grew old.
			我的一位朋友被枪杀。		My friend was shot.
			我的手烧伤了。		My hand was burned.
			我的腿还是很痛。		My legs still hurt.
			我妻子在家。		My wife is at home.
			谁也不能帮我。		No one can help me.
			没有人能帮我。		No one can help me.
			没人能阻止我！		Nobody can stop me!
			谁也没在看她。		Nobody watches her.
			什么也没少。		Nothing is missing.
			要听老师的话。		Obey your teachers.
			哦！那太糟糕了。		Oh! That's too bad.
			纸容易着火。		Paper burns easily.
			人家叫我汤姆。		People call me Tom.
			请不要开枪！		Please don't shoot.
			请穿衣服。		Please get dressed.
			請唱一首歌。		Please sing a song.
			请跟汤姆谈话。		Please talk to Tom.
			放下你的枪。		Put your guns down.
			卸下電池。		Remove the battery.
			土星是一顆行星。		Saturn is a planet.
			她差点就溺水了。		She almost drowned.
			她没有敌人。		She has no enemies.
			她是个内八字。		She is pigeon-toed.
			她很聰明。		She is very clever.
			她很可爱。		She is very pretty.
			她为我做了一个蛋糕。		She made me a cake.
			她让我幸福。		She makes me happy.
			她戴上了她的帽子。		She put on her hat.
			她坐在我旁边。		She sat next to me.
			她特别想去。		She so wants to go.
			她讲中文。		She speaks Chinese.
			她正在泡茶。		She was making tea.
			她很快就来了。		She will come soon.
			她贏得一切了。		She won everything.
			给我个例子。		Show me an example.
			有人在吃东西。		Somebody is eating.
			这里有人		Somebody's in here.
			留在这和汤姆在一起。		Stay here with Tom.
			不要走在草地上。		Stay off the grass.
			不要隨便開玩笑。		Stop joking around.
			把你们的帽子摘下来。		Take off your hats.
			告诉汤姆我很抱歉。		Tell Tom I'm sorry.
			告訴我該做什麼。		Tell me what to do.
			那个房子是我们的		That house is ours.
			那真有趣。		That is intriguing.
			那是我们的学校。		That is our school.
			这不是我的妻子。		That isn't my wife.
			这份工作工资很高。		That job paid well.
			这部分是容易的		That part was easy.
			看起来像天书。		That's Greek to me.
			真是个好主意！		That's a good idea!
			那是一件不錯的大衣。		That's a nice coat.
			那真令人鼓舞。		That's encouraging.
			它是给容易上当受骗的人的。		That's for suckers.
			那没什么大不了的。		That's no big deal.
			真好。		That's really nice.
			我就喜欢它。		That's what I like.
			那就是我想要的。		That's what I want.
			汽车发生故障了。		The car broke down.
			那辆车撞到墙了。		The car hit a wall.
			結案了。		The case is closed.
			机会错过了。		The chance is gone.
			咖啡是冷的。		The coffee is cold.
			覆水難收。		The damage is done.
			危險已過去。		The danger is over.
			狗在叫。		The dog is barking.
			冰箱開著。		The fridge is open.
			這蓋子打不開。		The lid won't open.
			灯已关了。		The lights are out.
			肉冻住了。		The meat is frozen.
			夜晚很冷。		The night was cold.
			老狗叫了。		The old dog barked.
			飞机准备好了。		The plane is ready.
			盤子很髒。		The plate is dirty.
			小偷跑了。		The thief ran away.
			轮胎漏气了。		The tire leaks air.
			我们的车走了。		There goes our bus.
			你又来了。		There you go again.
			没有错误。		There's no mistake.
			这些是我的书。		These are my books.
			这是我们的孩子。		These are our kids.
			這些狗很大。		These dogs are big.
			這一定是假的。		These must be fake.
			他们全都来了。		They all have come.
			他们满意了。		They are satisfied.
			他们没听。		They didn't listen.
			他们没付我钱。		They didn't pay me.
			他们过着和平的生活。		They live in peace.
			他们很眼熟。		They look familiar.
			他们永不言弃。		They never give up.
			他们服从了命令。		They obeyed orders.
			他们转过身。		They turned around.
			他们不会伤害我们。		They won't hurt us.
			他们在一起工作。		They work together.
			这本书小。		This book is small.
			这个男孩是我儿子。		This boy is my son.
			這把椅子很醜。		This chair is ugly.
			這把椅子很難看。		This chair is ugly.
			這把叉子是髒的。		This fork is dirty.
			這房子是我的。		This house is mine.
			这是医院。		This is a hospital.
			這是我所知道的。		This is all I know.
			這就是錯的。		This is just wrong.
			這是我的臥室。		This is my bedroom.
			這是我的項目。		This is my project.
			这可真好。		This is quite good.
			這是令人吃驚的。		This is surprising.
			这样好多了。		This is way better.
			这不是老虎。		This isn't a tiger.
			這不是給你的。		This isn't for you.
			這網站真好！		This site is great!
			这个故事是真的。		This story is true.
			那些是我的褲子。		Those are my pants.
			那些狗都很大。		Those dogs are big.
			今天很热。		Today is very warm.
			汤姆抛弃了他们。		Tom abandoned them.
			汤姆切到了手指。		Tom cut his finger.
			汤姆服从命令。		Tom follows orders.
			汤姆被宰了。		Tom got ripped off.
			汤姆被敲竹杠了。		Tom got ripped off.
			汤姆是个好厨师。		Tom is a good cook.
			汤姆一直都忙。		Tom is always busy.
			汤姆也来。		Tom is coming, too.
			汤姆要发疯。		Tom is going crazy.
			汤姆相当挑剔。		Tom is quite fussy.
			汤姆现在是认真的。		Tom is serious now.
			汤姆不是种族主义者。		Tom isn't a racist.
			汤姆不是天使。		Tom isn't an angel.
			汤姆学习了法语。		Tom learned French.
			汤姆喜欢足球。		Tom likes football.
			汤姆爱他的妻子。		Tom loves his wife.
			汤姆拿我开心。		Tom made fun of me.
			汤姆独自旅行。		Tom traveled alone.
			汤姆想离开。		Tom wants to leave.
			汤姆获得了胜利。		Tom was victorious.
			汤姆不渴。		Tom wasn't thirsty.
			汤姆不会高兴。		Tom won't be happy.
			明天是星期天。		Tomorrow is Sunday.
			她的故事是真的吗？		Was her story true?
			这汤好喝吗？		Was the soup tasty?
			我们收养了一个孩子。		We adopted a child.
			我们都睡着了。		We all fell asleep.
			我们不能在这里谈。		We can't talk here.
			我们没有打断。		We didn't break in.
			我们不相信汤姆。		We don't trust Tom.
			我们需要的只有水。		We just need water.
			我们什么都知道。		We know everything.
			我们知道我们的权利。		We know our rights.
			我们需要更多员工。		We need more staff.
			我们在公园里跑了步。		We ran in the park.
			我们分手吧。		We should break up.
			我们学了英语。		We studied English.
			我们想听听。		We want to hear it.
			我们很保守。		We're conservative.
			我们在吃面包。		We're eating bread.
			我们已经原谅你了。		We've forgiven you.
			真是个巧合！		What a coincidence!
			那么多钢笔！		What a lot of pens!
			你在做什麼？		What are you doing?
			多么糟糕的天气啊！		What awful weather!
			他什麼意思？		What could he mean?
			老虎吃什么东西？		What do tigers eat?
			这儿发生了什么事？		What happened here?
			刚刚发生了什么？		What just happened?
			你将拥有什么？		What will you have?
			在吃什么呢？		What're you eating?
			你在說什麼？		What're you saying?
			你在说什么呢？		What're you saying?
			你有什么建议呢？		What's your advice?
			什么时候开始？		When does it begin?
			我应该什么时候打电话？		When should I call?
			你是哪裡的人？		Where are you from?
			你在哪里读书？		Where do you study?
			他住在哪里？		Where does he live?
			她家在哪儿？		Where is her house?
			旅馆在哪里？		Where is the hotel?
			鞋子在哪儿？		Where're the shoes?
			你要去哪裡？		Where're you going?
			你们去哪里？		Where're you going?
			锤子在哪里？		Where's the hammer?
			哪个包是你的？		Which bag is yours?
			哪顶帽子是你的？		Which cap is yours?
			哪个是你的杯子？		Which cup is yours?
			哪个杯子是你的？		Which cup is yours?
			哪本是你的书？		Which is your book?
			那些家伙是谁？		Who are those guys?
			那人谁啊？		Who is that person?
			这个人是谁？		Who is this person?
			這蛋糕是誰做的？		Who made this cake?
			誰拿了錢？		Who took the money?
			这辆自行车是谁的？		Whose bike is this?
			那是谁的环？		Whose ring is that?
			他们为什么在生气？		Why are they angry?
			我干嘛在乎？		Why do I even care?
			你为什么恨我？		Why do you hate me?
			你为什么喜欢我？		Why do you love me?
			汤姆为什么兴奋？		Why is Tom excited?
			为什么我们应该要帮助？		Why should we help?
			我会留疤吗？		Will I have a scar?
			您非常勇敢。		You are very brave.
			你非常勇敢。		You are very brave.
			你没受到邀请。		You aren't invited.
			你坏了规矩。		You broke the rule.
			你不能这么说。		You can't say that.
			你可以这么说。		You could say that.
			这么说也可以。		You could say that.
			你干得很好。		You did a good job.
			你有客人。		You have a visitor.
			你有一双很可爱的眼睛。		You have cute eyes.
			你的皮膚真好。		You have nice skin.
			你知道我是正确的。		You know I'm right.
			你喜欢大象。		You like elephants.
			你看起来很吃惊。		You look surprised.
			你看上去很好。		You look very good.
			你看上去很苍白。		You look very pale.
			你一定是开玩笑！		You must be joking!
			你现在必须离开。		You must leave now.
			你该去理发店了。		You need a haircut.
			你欠我一个人情。		You owe me a favor.
			你处于危险之中。		You were in danger.
			你最好快点。		You'd better hurry.
			你会东山再起的。		You'll bounce back.
			你是个好厨师。		You're a good cook.
			你一直忙。		You're always busy.
			你總是遲到。		You're always late.
			你总是迟到。		You're always late.
			你是个乐观主义者。		You're an optimist.
			你还年轻。		You're still green.
			你仍然很年輕。		You're still young.
			你个小屁孩。		You're such a brat.
			你已经有人陪伴了。		You've got company.
			你太过分了。		You've overdone it.
			你有口臭。		Your breath smells.
			“相信我。”他说。		"""Trust me,"" he said."
			鲸鱼是哺乳动物。		A whale is a mammal.
			美洲很大。		America is very big.
			那是新买的鞋子吗？		Are those new shoes?
			你现在感到痛苦吗？		Are you in pain now?
			你在脸书上吗？		Are you on Facebook?
			让汤姆帮你。		Ask Tom to help you.
			但是，我不要。		But I don't want to.
			但我没有害怕。		But I wasn't afraid.
			可以给我一些茶水吗？		Can I have some tea?
			圣诞节近了。		Christmas drew near.
			摧毁这个寺庙。		Destroy this temple.
			你们打汤姆的小报告了吗？		Did you tell on Tom?
			你有刀吗？		Do you have a knife?
			你记日记吗？		Do you keep a diary?
			你喜欢阅读吗？		Do you like to read?
			你共住一个房间吗？		Do you share a room?
			您共住一个房间吗？		Do you share a room?
			你们共住一个房间吗？		Do you share a room?
			你想聊天吗？		Do you want to chat?
			汤姆有工作吗？		Does Tom have a job?
			不要掉了这个杯子。		Don't drop this cup.
			别让汤姆走了。		Don't let Tom leave.
			不要站在我身邊。		Don't stand near me.
			别那么着急。		Don't worry so much.
			你不知道那件事吗？		Don't you know that?
			度假愉快！		Enjoy your holidays.
			分秒必争。		Every minute counts.
			眾人鼓掌。		Everybody applauded.
			大家都是这样想的。		Everybody thinks so.
			每个人都担心。		Everybody's worried.
			每个人都很特别。		Everyone is special.
			那件事谁都知道。		Everyone knows that.
			一切看上去正常。		Everything seems OK.
			一切正常。		Everything's normal.
			不好意思，我迷路了。		Excuse me, I'm lost.
			很少人这么认为。		Few people think so.
			今天魚很便宜。		Fish is cheap today.
			自由是有代价的。		Freedom is not free.
			从那儿下来！		Get down from there.
